route_id,service_id,trip_id
17,1192,667526
17,1197,725607
17,1203,1073914
17,1203,1542227
17,1203,469786
17,131,231079
17,132,962322
17,136,723886
17,138,1414594
17,163,307412
17,165,1230611
17,165,1476851
17,165,1588048
17,165,647339
17,165,800692
17,165,904956
17,165,974422
17,173,1329523
17,173,709668
17,178,1339307
17,232,1156601
17,232,272241
17,232,444346
17,232,720003
17,240,447343
17,241,138667
17,242,821237
17,249,1291367
17,254,1016174
17,254,165746
17,254,283842
17,254,458551
17,254,549158
17,254,809760
17,255,818242
17,26,957423
17,268,1314076
17,284,602634
17,307,1010012
17,307,1083173
17,307,1102903
17,307,1397310
17,307,146051
17,307,201656
17,307,243734
17,307,494145
17,307,630025
17,307,6327
17,307,672896
17,307,725641
17,307,912676
17,315,314187
17,322,1221204
17,322,1381142
17,322,775821
17,334,1227048
17,334,1239173
17,334,1587188
17,334,369336
17,376,1147531
17,376,708124
17,397,1298694
17,397,552153
17,397,919553
17,419,17973
17,419,308872
17,419,332150
17,419,516284
17,419,950373
17,423,691947
17,423,878347
17,480,1219312
17,49,114046
17,49,1181672
17,49,1243068
17,49,1372053
17,49,1424558
17,49,1544662
17,49,1567726
17,49,190483
17,49,242216
17,49,452337
17,49,56849
17,49,817575
17,49,929006
17,49,968777
17,541,1440437
17,566,1027095
17,566,1201008
17,566,1215852
17,566,356524
17,566,734131
17,566,942459
17,566,962567
17,577,571281
17,579,1206890
17,579,191531
17,594,1484045
17,594,269646
17,594,328934
17,594,360669
17,594,361056
17,594,368710
17,594,724528
17,594,730646
17,594,772093
17,594,926820
17,61,269241
17,61,327384
17,61,476908
17,61,490111
17,61,695391
17,61,748877
17,617,616289
17,617,821779
17,625,633602
17,626,1215832
17,633,1518702
17,644,1206677
17,65,1484804
17,672,967997
17,682,1116641
17,682,1156949
17,682,1394044
17,682,1443349
17,682,1570939
17,682,1590949
17,682,169685
17,682,359325
17,682,490590
17,682,566579
17,700,1399808
17,717,400950
17,717,84666
17,734,27016
17,734,494594
17,751,1084496
17,802,1385043
17,802,61711
17,804,1292287
17,838,757371
17,852,1287050
17,852,339997
17,852,900775
17,908,549331
17,911,1326742
17,914,887837
17,94,1277312
17,963,1329447
17,963,1457906
17,963,1550842
17,963,362117
17,963,684432
17,97,161360
18,1001,371436
18,1019,1159195
18,1019,248405
18,104,318332
18,1043,1051578
18,1043,1192215
18,1057,224172
18,1057,340469
18,1057,497819
18,1057,505332
18,1057,715481
18,1060,1091181
18,1060,129739
18,1060,1463371
18,1060,1547179
18,1060,267734
18,1060,382793
18,1060,519665
18,1060,764925
18,1060,775853
18,1060,984070
18,1066,315327
18,1066,648296
18,1067,1191806
18,1067,1393354
18,1067,1491782
18,1067,153224
18,1067,196163
18,1067,694947
18,1067,833132
18,1067,916489
18,1067,952717
18,1070,1140884
18,1070,578780
18,1073,665996
