route_id,service_id,trip_id
1005,1701,1123669
1005,1701,113223
1005,1701,1156121
1005,1701,1182595
1005,1701,1218591
1005,1701,1258763
1005,1701,1286901
1005,1701,1316090
1005,1701,1317901
1005,1701,1329121
1005,1701,134302
1005,1701,1379901
1005,1701,1380112
1005,1701,1393074
1005,1701,1399829
1005,1701,1417300
1005,1701,1428856
1005,1701,1442960
1005,1701,1478101
1005,1701,1516603
1005,1701,159681
1005,1701,200892
1005,1701,2019
1005,1701,207655
1005,1701,214001
1005,1701,222455
1005,1701,291427
1005,1701,43494
1005,1701,452882
1005,1701,463723
1005,1701,480198
1005,1701,523761
1005,1701,534311
1005,1701,565560
1005,1701,592935
1005,1701,65610
1005,1701,695455
1005,1701,713147
1005,1701,732319
1005,1701,772421
1005,1701,807651
1005,1701,89987
1005,1701,929047
1005,1701,956996
1005,1701,982952
1005,1701,988151
1005,2042,1118224
1005,2042,586916
1005,2399,1102203
1005,2399,1489270
1005,293,1332722
1005,293,1507820
1005,3477,1039606
1005,4371,1136423
1005,4371,1574241
1005,4371,807498
1005,4371,813630
1005,4371,880649
1005,464,1054019
1005,464,1181320
1005,464,1188683
1005,464,1349959
1005,464,1465439
1005,464,1483126
1005,464,1487570
1005,464,1504020
1005,464,1582223
1005,464,180269
1005,464,191416
1005,464,935526
1005,464,968276
1005,464,998588
1005,525,1019758
1005,525,676792
1005,762,1071789
1005,762,1093782
1005,762,1094585
1005,762,1138173
1005,762,1183873
1005,762,1190980
1005,762,1242759
1005,762,1260934
1005,762,1431302
1005,762,1556609
1005,762,160891
1005,762,182124
1005,762,20579
1005,762,206038
1005,762,252217
1005,762,320493
1005,762,34387
1005,762,35220
1005,762,432776
1005,762,573704
1005,762,584766
1005,762,590172
1005,762,640026
1005,762,643460
1005,762,66163
1005,762,812309
1005,762,820228
1005,762,835428
1005,762,839985
1005,762,942677
1005,762,950062
1005,762,953854
1005,762,97296
1005,860,295490
1005,881,1579766
1005,881,264390
1005,881,696592
1006,1645,34473
1006,1791,1117316
1006,215,1198927
1006,2192,1222531
1006,2192,693784
1006,2192,843477
1006,2515,533645
1006,3074,1220659
1006,4119,1212044
1006,4119,1281300
1006,4210,336689
1006,4210,805205
1006,4210,977949
1006,4361,1097897
1006,881,1227501
1006,881,1496660
1007,1366,1251699
1007,1366,1398791
1007,2999,1075322
1007,2999,1234982
1007,3477,10679
1007,3477,506008
1007,3517,1194005
1007,3517,1356141
1007,415,632105
1007,441,1531240
1007,874,866230
1008,1701,1018610
1008,1701,1129025
1008,1701,130832
1008,1701,1351375
1008,1701,26629
1008,1701,438204
1008,1701,457795
1008,1701,618517
1008,1701,767094
1008,1701,882349
1008,1701,893379
1008,1701,94147
1008,1701,964189
1008,1701,997996
1008,464,1000152
1008,464,1345216
1008,464,501830
1008,464,676324
1008,464,714997
1008,464,792552
1008,464,891577
1008,525,319929
1008,525,49824
1008,525,657369
1008,525,727854
1008,525,826096
1009,1701,1044572
1009,1701,1100623
1009,1701,1114858
1009,1701,1120105
1009,1701,1228415
1009,1701,1259914
1009,1701,128573
1009,1701,1438036
1009,1701,1457060
1009,1701,1496571
1009,1701,1534555
1009,1701,166482
1009,1701,514777
1009,1701,77149
1009,1701,830806
1009,1701,889422
1009,1701,937814
1009,2324,799259
1009,2324,955779
1009,2417,1247553
1009,2417,147447
1009,2417,1486395
1009,2417,178852
1009,2417,831682
1009,4419,1264838
1009,464,1000742
1009,464,1078656
1009,464,1079404
1009,464,1121708
1009,464,1307519
1009,464,1482364
1009,464,1518019
1009,464,1562169
1009,464,177628
1009,464,230912
1009,464,486567
1009,464,554477
1009,464,664216
1009,464,819409
1009,464,85479
101,1432,252452
101,1701,1005515
101,1701,1040403
101,1701,1050444
101,1701,1054947
101,1701,1059093
101,1701,1068133
101,1701,1077452
101,1701,1079800
101,1701,1101965
101,1701,1144145
101,1701,1161216
101,1701,1191989
101,1701,1203856
101,1701,1250479
101,1701,1261080
101,1701,1291685
101,1701,1345474
101,1701,1428839
101,1701,1465773
101,1701,146844
